page_name,STEMMESEDDELNAVN
Mette Abildgaard,Mette Abildgaard
Troels Lund Poulsen,Troels Lund Poulsen
Tommy Ahlers,Tommy Ahlers
KD-politiker Margit Lund-Cramer,Margit Lund-Cramer
Kirsten Normann Andersen,Kirsten Normann Andersen
Niels Arbøl - Folketingskandidat for Radikale Venstre,Niels Arbøl
Mette Frederiksen,Mette Frederiksen
Gunner Poulsen SF,Gunner Poulsen
Søren Pape Poulsen,Søren Pape Poulsen
Pia Olsen Dyhr,Pia Olsen Dyhr
Flemming Leer Jakobsen,Flemming Leer Jakobsen
Marianne Bigum,Marianne Bigum
Daniel Nyboe Andersen,Daniel Nyboe Andersen
Mai Mercado,Mai Mercado
Anna Brændemose,Anna Brændemose
Karsten Lauritzen,Karsten Lauritzen
Sophie Løhde,Sophie Løhde
Marcus Knuth,Marcus Knuth
Andreas Albertsen,Andreas Albertsen
Peter Seier Christensen,Peter Seier Christensen
Mona Juul,Mona Juul
Jens Meilvang,Jens Meilvang
Rikke Mortensen - Byrådsmedlem og folketingskandidat Radikale Venstre,Rikke Mortensen
Alex Vanopslagh,Alex Vanopslagh
Balder Mørk Andersen,Balder Mørk Andersen
Naser Khader,Naser Khader
Morten Marinus,Morten Marinus
Isabella Arendt,Isabella Arendt
Caroline Lauritsen,Caroline Lauritsen
Ida Auken,Ida Auken
Anne Honoré Østergaard,Anne Honoré Østergaard
Michael Nedersøe - Dansk Folkeparti,Michael Nedersøe
Morten Kristoffer Hansen,Morten Kristoffer Hansen
Michael Aastrup Jensen,Michael Aastrup Jensen
Paw Amdisen i folketinget,Paw Amdisen
Mette Gjerskov - Socialdemokratiet,Mette Gjerskov
Charlotte Munch - Politiker,Charlotte Munch
Mogens Stig Møller,Mogens Stig Møller
Camilla Lydiksen,Camilla Lydiksen
Mia Tang,Mia Tang
Kim Edberg Andersen,Kim Edberg Andersen
Dan Jørgensen,Dan Jørgensen
Karina Lorentzen Dehnhardt,Karina Lorentzen Dehnhardt
Morten Dahlin,Morten Dahlin
Rasmus Norup,Rasmus Norup
Folketingskandidat Jørgen Nielsen,Jørgen Nielsen
Laura Lindahl,Laura Lindahl
Katrine Robsøe,Katrine Robsøe
Andreas Steenberg,Andreas Steenberg
Niels E. Bjerrum,Niels E. Bjerrum
Susanne Zimmer - Alternativet,Susanne Zimmer
MF Jane Heitmann,Jane Heitmann
Brian Bressendorff,Brian Bressendorff
Nick Zimmermann - Dansk Folkeparti,Nick Zimmermann
Søren Valgreen Knudsen - Folketingskandidat,Søren Valgreen Knudsen
Benny Engelbrecht,Benny Engelbrecht
Heidi Bank,Heidi Bank
Bjørn Brandenborg,Bjørn Brandenborg
Emil Blücher - Byrådsmedlem og folketingskandidat,Emil Blücher
Kathrine Olldag,Kathrine Olldag
Simon Skals,Simon Skals
Anders Funch Engelstad,Anders Funch Engelstad
Simon Pihl Sørensen - Viceborgmester Lyngby-Taarbæk,Simon Pihl Sørensen
Claus Bøgh Svenningsen,Claus Bøgh Svenningsen
Lars Chr. Lilleholt,Lars Chr. Lilleholt
Anders G. Jacobsen - Folketingskandidat for Venstre,Anders G. Jacobsen
Bo Nygaard Larsen - politiker,Bo Nygaard Larsen
"Kristian Andersen, KD",Kristian Andersen
Ibrahim Benli- Enhedslistens folketingskandidat Københavns Omegn,Ibrahim Benli
Frederik Nilausen Dam - Liberal kandidat til Folketinget,Frederik Nilausen Dam
Claus Hjort Frederiksen,Claus Hjort Frederiksen
Maria Gudme,Maria Gudme
Karina Rohrberg Jessen,Karina Rohrberg Jessen
Anne Hegelund,Anne Hegelund
Henrik Sass Larsen,Henrik Sass Larsen
Palle Lykke Ravn,Palle Lykke Ravn
Lisbeth Bech Poulsen,Lisbeth Bech Poulsen
Karina Due - Dansk Folkeparti,Karina Due
Morten Østergaard,Morten Østergaard
Bo Sandroos Venstre i København,Bo Sandroos
Vivi Nør Jacobsen,Vivi Nør Jacobsen
Jacob Mark,Jacob Mark
Torben Overgaard,Torben Overgaard
Nicolai Wammen,Nicolai Wammen
Klaus Riskær Pedersen,Klaus Riskær Pedersen
"Martin Boye - Liberal Alliance, Vejen",Martin Boye
Jacob Panton,Jacob Panton
Michael Skaaning Johansen - Radikale venstre,Michael Skaaning Johansen
Troels Ravn,Troels Ravn
Jesper Petersen,Jesper Petersen
Erling Bonnesen,Erling Bonnesen
Ken Patrick Petersson Alternativet,Ken Patrick Petersson
"Sebastian Mylsted-Schenstrøm - Venstre, Næstved",Sebastian Mylsted-Schenstrøm
Politiker Claus Kvist Hansen,Claus Kvist Hansen
Simon Simonsen,Simon Simonsen
David Trads,David Trads
Lars Løkke Rasmussen,Lars Løkke Rasmussen
Støt Ole Pedersens vej til Folketinget,Ole Pedersen
Margrete Auken,Margrete Auken
Henrik Buchhave,Henrik Buchhave
Jens-Henrik Kirk,Jens-Henrik Kirk
Tom Block,Tom Block
Kim Valentin,Kim Valentin
Kenneth Fredslund Petersen - DF Folketingskandidat i Syd og SdrJylland,Kenneth Fredslund Petersen
Astrid Krag,Astrid Krag
Nikolaj Vester,Nikolaj Vester
Mads Fuglede,Mads Fuglede
Stig Grenov,Stig Grenov
Ina Strøjer-Schmidt - Folketingsmedlem for SF i Københavns omegnskommuner,Ina Strøjer-Schmidt
Joachim B. Olsen,Joachim B. Olsen
Renee Funder,Renee Funder
Peter Hummelgaard,Peter Hummelgaard
Sofie Carsten Nielsen,Sofie Carsten Nielsen
Morten Messerschmidt,Morten Messerschmidt
Bjarke Kværnø,Bjarke Kværnø
Rune Christiansen - Radikale Venstre,Rune Christiansen
Roya Moore,Roya Moore
Malthe Johan Poulsen,Malthe Johan Poulsen
Signe Munk,Signe Munk
Jeppe Fransson,Jeppe Fransson
Lene Linnemann - SF,Lene Linnemann
Serdal Benli,Serdal Benli
Frederik Damgaard,Frederik Damgaard
René Nord Hansen,René Nord Hansen
Nanna Bonde,Nanna Bonde
Morten Thiessen,Morten Thiessen
Aleksander Myrhøj - SF,Aleksander Myrhøj
Kira Marie Peter-Hansen,Kira Marie Peter-Hansen
Kristian Jensen,Kristian Jensen
Lucas Zukunft,Lucas Zukunft
Britt Bager,Britt Bager
Orla Østerby i Folketinget,Orla Østerby
Anders Johansson,Anders Johansson
Simon Leed Krøs,Simon Leed Krøs
Rasmus Helveg Petersen,Rasmus Helveg Petersen
Zenia Stampe,Zenia Stampe
Per Husted i Folketinget,Per Husted
Henrik Jørgensen - Folketingskandidat for Venstre Brønderslevkredsen,Henrik Jørgensen
Nikolaj Bøgh,Nikolaj Bøgh
Line Krogh Lay - Radikale,Line Krogh Lay
Jakob Ellemann-Jensen,Jakob Ellemann-Jensen
Peter Westermann,Peter Westermann
Eva Flyvholm,Eva Flyvholm
Mogens Jensen,Mogens Jensen
Christoffer Aagaard Melson,Christoffer Aagaard Melson
Anne Skau Styrishave,Anne Skau Styrishave
"Hanne Bjørn-Klausen, Det Konservative Folkeparti",Hanne Bjørn-Klausen
Malte Larsen,Malte Larsen
Jakob Rixen,Jakob Rixen
Mette Qwinten - Folketingskandidat for DF,Mette Qwinten
Alexander Grandt,Alexander Grandt
Christina Egelund,Christina Egelund
Amalie Mørkøre Højsholt - Radikale Venstre,Amalie Mørkøre Højsholt
Jane Christensen  Folketingskandidat 2019,Jane Christensen
Karen Melchior,Karen Melchior
Rune Ranaivo Bjerremand - Folketingskandidat i Syd og Sønderjylland  - Å,Rune Ranaivo Bjerremand
Kasper Sand Kjær,Kasper Sand Kjær
Karl Magnus Bidstrup,Karl Magnus Bidstrup
Yildiz Akdogan,Yildiz Akdogan
Caspar Stefani,Caspar Stefani
Rasmus Vestergaard Madsen,Rasmus Vestergaard Madsen
Jeppe Bruus,Jeppe Bruus
Karsten Brønnum - Dansk Folkeparti,Karsten Brønnum
Inger Støjberg,Inger Støjberg
Stem Henrik Sørensen i Folketinget,Henrik Sørensen
Pia Kjærsgaard,Pia Kjærsgaard
Peter Skaarup,Peter Skaarup
